,system,latency,subset,ref,doc,level,metric,value,align
529,NAIST,medium,nat,ref,ted_63920,document,comet-da,-0.8047118782997131,one_seq
530,CUNI-KIT,high,nonn,ref,03_botel-proti-proudu,document,comet-da,-0.4460798501968384,one_seq
531,CUNI-KIT,high,nonn,ref,04_g-t,document,comet-da,0.5141461491584778,one_seq
532,CUNI-KIT,high,nonn,ref,05_i-dodge,document,comet-da,-0.16581031680107117,one_seq
533,CUNI-KIT,high,nonn,ref,06_masaze-petr-klic,document,comet-da,-0.15679162740707397,one_seq
534,CUNI-KIT,high,nonn,ref,07_bucherinsel-west,document,comet-da,0.5472072958946228,one_seq
535,CUNI-KIT,high,nonn,ref,08_jizeran,document,comet-da,0.35330134630203247,one_seq
536,CUNI-KIT,high,nonn,ref,09_il-gabbiano,document,comet-da,-0.4486904740333557,one_seq
537,CUNI-KIT,high,nonn,ref,10_magic-travel,document,comet-da,0.19900259375572205,one_seq
538,CUNI-KIT,high,nonn,ref,11_trefa,document,comet-da,0.46655842661857605,one_seq
539,CUNI-KIT,high,nonn,ref,12_fictionalcine,document,comet-da,0.00955829955637455,one_seq
540,CUNI-KIT,high,nonn,ref,13_don-bosco-barcelona,document,comet-da,0.17750921845436096,one_seq
541,CUNI-KIT,high,nonn,ref,14_llibres-i-revistes-edb,document,comet-da,-0.2165132611989975,one_seq
542,CUNI-KIT,high,nonn,ref,15_brnkni,document,comet-da,-0.0894681066274643,one_seq
543,CUNI-KIT,high,nonn,ref,16_develop-most,document,comet-da,0.2573826014995575,one_seq
544,CUNI-KIT,high,nonn,ref,17_tf-smart-team,document,comet-da,0.5614673495292664,one_seq
545,CUNI-KIT,high,nonn,ref,18_tf-magic-world,document,comet-da,0.575981855392456,one_seq
546,CUNI-KIT,high,nonn,ref,19_be-beauty,document,comet-da,-0.3830481469631195,one_seq
547,CUNI-KIT,high,nonn,ref,20_mela-e-piu,document,comet-da,-1.2161531448364258,one_seq
548,CUNI-KIT,high,nonn,ref,21_hat-cap,document,comet-da,-0.6155903339385986,one_seq
549,CUNI-KIT,high,nonn,ref,22_new-design-world,document,comet-da,0.1359824538230896,one_seq
550,CUNI-KIT,high,nonn,ref,23_pillowdream,document,comet-da,-0.17362646758556366,one_seq
551,CUNI-KIT,high,nonn,ref,24_mole-g-p-technologies,document,comet-da,0.09578905999660492,one_seq
552,CUNI-KIT,high,nonn,ref,25_folkstyle,document,comet-da,0.29942581057548523,one_seq
553,CUNI-KIT,high,nonn,ref,26_tabacco-shop,document,comet-da,0.2999337613582611,one_seq
554,CUNI-KIT,high,nonn,ref,27_f-e-international-tour,document,comet-da,0.2512935996055603,one_seq
555,CUNI-KIT,high,nonn,ref,28_samanka,document,comet-da,0.3169386386871338,one_seq
556,CUNI-KIT,high,nonn,ref,29_salon-n-g,document,comet-da,0.36274001002311707,one_seq
557,CUNI-KIT,high,nonn,ref,30_appolonas,document,comet-da,0.33058661222457886,one_seq
558,CUNI-KIT,high,nonn,ref,31_devil-chocolate,document,comet-da,0.5796898007392883,one_seq
559,CUNI-KIT,high,nonn,ref,32_ck-remoa,document,comet-da,-0.5817187428474426,one_seq
560,CUNI-KIT,high,nonn,ref,33_logistic-servis,document,comet-da,-0.7699726223945618,one_seq
561,CUNI-KIT,high,nonn,ref,34_kol_action_accessoires,document,comet-da,-0.45776858925819397,one_seq
562,CUNI-KIT,high,nonn,ref,35_f-e-time-travel-agency,document,comet-da,0.5195633769035339,one_seq
563,CUNI-KIT,high,nonn,ref,36_step-house,document,comet-da,0.3742959499359131,one_seq
564,CUNI-KIT,high,nonn,ref,37_caspowalk,document,comet-da,-0.3700343668460846,one_seq
565,CUNI-KIT,high,nonn,ref,38_seta,document,comet-da,0.15006910264492035,one_seq
566,CUNI-KIT,high,nonn,ref,39_total-regal,document,comet-da,0.17834091186523438,one_seq
567,CUNI-KIT,high,nonn,ref,austrian,document,comet-da,0.6455482244491577,one_seq
568,CUNI-KIT,high,nonn,ref,belgian,document,comet-da,-0.03071141429245472,one_seq
569,CUNI-KIT,high,nonn,ref,dutch,document,comet-da,0.38109147548675537,one_seq
570,CUNI-KIT,high,nonn,ref,polish,document,comet-da,0.31276264786720276,one_seq
571,CUNI-KIT,high,nonn,ref,romanian,document,comet-da,0.5211690664291382,one_seq
572,CUNI-KIT,high,nonn,ref,spanish,document,comet-da,0.39636853337287903,one_seq
573,CUNI-KIT,medium,nonn,intp,03_botel-proti-proudu,document,bertscore.f1,0.74601,one_seq
574,CUNI-KIT,medium,nonn,intp,04_g-t,document,bertscore.f1,0.780682,one_seq
575,CUNI-KIT,medium,nonn,intp,05_i-dodge,document,bertscore.f1,0.736018,one_seq
576,CUNI-KIT,medium,nonn,intp,06_masaze-petr-klic,document,bertscore.f1,0.753183,one_seq
577,CUNI-KIT,medium,nonn,intp,07_bucherinsel-west,document,bertscore.f1,0.789465,one_seq
578,CUNI-KIT,medium,nonn,intp,08_jizeran,document,bertscore.f1,0.780721,one_seq
579,CUNI-KIT,medium,nonn,intp,09_il-gabbiano,document,bertscore.f1,0.742274,one_seq
580,CUNI-KIT,medium,nonn,intp,10_magic-travel,document,bertscore.f1,0.780788,one_seq
581,CUNI-KIT,medium,nonn,intp,11_trefa,document,bertscore.f1,0.77467,one_seq
582,CUNI-KIT,medium,nonn,intp,12_fictionalcine,document,bertscore.f1,0.766037,one_seq
583,CUNI-KIT,medium,nonn,intp,13_don-bosco-barcelona,document,bertscore.f1,0.75229,one_seq
584,CUNI-KIT,medium,nonn,intp,14_llibres-i-revistes-edb,document,bertscore.f1,0.75121,one_seq
585,CUNI-KIT,medium,nonn,intp,15_brnkni,document,bertscore.f1,0.766229,one_seq
586,CUNI-KIT,medium,nonn,intp,16_develop-most,document,bertscore.f1,0.774845,one_seq
587,CUNI-KIT,medium,nonn,intp,17_tf-smart-team,document,bertscore.f1,0.695963,one_seq
588,CUNI-KIT,medium,nonn,intp,18_tf-magic-world,document,bertscore.f1,0.752259,one_seq
589,CUNI-KIT,medium,nonn,intp,19_be-beauty,document,bertscore.f1,0.733895,one_seq
590,CUNI-KIT,medium,nonn,intp,20_mela-e-piu,document,bertscore.f1,0.656785,one_seq
591,CUNI-KIT,medium,nonn,intp,21_hat-cap,document,bertscore.f1,0.76075,one_seq
592,CUNI-KIT,medium,nonn,intp,22_new-design-world,document,bertscore.f1,0.727651,one_seq
593,CUNI-KIT,medium,nonn,intp,23_pillowdream,document,bertscore.f1,0.715471,one_seq
594,CUNI-KIT,medium,nonn,intp,24_mole-g-p-technologies,document,bertscore.f1,0.753578,one_seq
595,CUNI-KIT,medium,nonn,intp,25_folkstyle,document,bertscore.f1,0.768752,one_seq
596,CUNI-KIT,medium,nonn,intp,26_tabacco-shop,document,bertscore.f1,0.802671,one_seq
597,CUNI-KIT,medium,nonn,intp,27_f-e-international-tour,document,bertscore.f1,0.752118,one_seq
598,CUNI-KIT,medium,nonn,intp,28_samanka,document,bertscore.f1,0.755333,one_seq
599,CUNI-KIT,medium,nonn,intp,29_salon-n-g,document,bertscore.f1,0.748601,one_seq
600,CUNI-KIT,medium,nonn,intp,30_appolonas,document,bertscore.f1,0.744882,one_seq
601,CUNI-KIT,medium,nonn,intp,31_devil-chocolate,document,bertscore.f1,0.830668,one_seq
602,CUNI-KIT,medium,nonn,intp,32_ck-remoa,document,bertscore.f1,0.76753,one_seq
603,CUNI-KIT,medium,nonn,intp,33_logistic-servis,document,bertscore.f1,0.729983,one_seq
604,CUNI-KIT,medium,nonn,intp,34_kol_action_accessoires,document,bertscore.f1,0.73606,one_seq
605,CUNI-KIT,medium,nonn,intp,35_f-e-time-travel-agency,document,bertscore.f1,0.730239,one_seq
606,CUNI-KIT,medium,nonn,intp,36_step-house,document,bertscore.f1,0.75444,one_seq
607,CUNI-KIT,medium,nonn,intp,37_caspowalk,document,bertscore.f1,0.711158,one_seq
608,CUNI-KIT,medium,nonn,intp,38_seta,document,bertscore.f1,0.758137,one_seq
609,CUNI-KIT,medium,nonn,intp,39_total-regal,document,bertscore.f1,0.727591,one_seq
610,CUNI-KIT,medium,nonn,intp,austrian,document,bertscore.f1,0.777492,one_seq
611,CUNI-KIT,medium,nonn,intp,belgian,document,bertscore.f1,0.756358,one_seq
612,CUNI-KIT,medium,nonn,intp,dutch,document,bertscore.f1,0.746971,one_seq
613,CUNI-KIT,medium,nonn,intp,polish,document,bertscore.f1,0.77918,one_seq
614,CUNI-KIT,medium,nonn,intp,romanian,document,bertscore.f1,0.780099,one_seq
615,CUNI-KIT,medium,nonn,intp,spanish,document,bertscore.f1,0.764924,one_seq
616,UPV,medium,nat,ref,ted_37498,document,bertscore.f1,0.791454,one_seq
617,UPV,medium,nat,ref,ted_39331,document,bertscore.f1,0.85068,one_seq
618,UPV,medium,nat,ref,ted_42604,document,bertscore.f1,0.837126,one_seq
619,UPV,medium,nat,ref,ted_45614,document,bertscore.f1,0.793873,one_seq
620,UPV,medium,nat,ref,ted_45973,document,bertscore.f1,0.8182,one_seq
621,UPV,medium,nat,ref,ted_46528,document,bertscore.f1,0.825776,one_seq
622,UPV,medium,nat,ref,ted_49440,document,bertscore.f1,0.798225,one_seq
623,UPV,medium,nat,ref,ted_50853,document,bertscore.f1,0.810388,one_seq
624,UPV,medium,nat,ref,ted_51101,document,bertscore.f1,0.850143,one_seq
625,UPV,medium,nat,ref,ted_52268,document,bertscore.f1,0.894561,one_seq
626,UPV,medium,nat,ref,ted_54706,document,bertscore.f1,0.780389,one_seq
627,UPV,medium,nat,ref,ted_55061,document,bertscore.f1,0.851392,one_seq
628,UPV,medium,nat,ref,ted_56901,document,bertscore.f1,0.788448,one_seq
629,UPV,medium,nat,ref,ted_57418,document,bertscore.f1,0.84029,one_seq
630,UPV,medium,nat,ref,ted_60872,document,bertscore.f1,0.773926,one_seq
631,UPV,medium,nat,ref,ted_62628,document,bertscore.f1,0.786547,one_seq
632,UPV,medium,nat,ref,ted_63920,document,bertscore.f1,0.809341,one_seq
633,NAIST,low,nonn,ref,03_botel-proti-proudu,document,bertscore.f1,0.71485,one_seq
634,NAIST,low,nonn,ref,04_g-t,document,bertscore.f1,0.685519,one_seq
635,NAIST,low,nonn,ref,05_i-dodge,document,bertscore.f1,0.689697,one_seq
636,NAIST,low,nonn,ref,06_masaze-petr-klic,document,bertscore.f1,0.680169,one_seq
637,NAIST,low,nonn,ref,07_bucherinsel-west,document,bertscore.f1,0.733457,one_seq
638,NAIST,low,nonn,ref,08_jizeran,document,bertscore.f1,0.718868,one_seq
639,NAIST,low,nonn,ref,09_il-gabbiano,document,bertscore.f1,0.696362,one_seq
640,NAIST,low,nonn,ref,10_magic-travel,document,bertscore.f1,0.712146,one_seq
641,NAIST,low,nonn,ref,11_trefa,document,bertscore.f1,0.704707,one_seq
642,NAIST,low,nonn,ref,12_fictionalcine,document,bertscore.f1,0.702986,one_seq
643,NAIST,low,nonn,ref,13_don-bosco-barcelona,document,bertscore.f1,0.708125,one_seq
644,NAIST,low,nonn,ref,14_llibres-i-revistes-edb,document,bertscore.f1,0.66973,one_seq
645,NAIST,low,nonn,ref,15_brnkni,document,bertscore.f1,0.681611,one_seq
646,NAIST,low,nonn,ref,16_develop-most,document,bertscore.f1,0.674269,one_seq
647,NAIST,low,nonn,ref,17_tf-smart-team,document,bertscore.f1,0.712279,one_seq
648,NAIST,low,nonn,ref,18_tf-magic-world,document,bertscore.f1,0.664444,one_seq
649,NAIST,low,nonn,ref,19_be-beauty,document,bertscore.f1,0.667182,one_seq
650,NAIST,low,nonn,ref,20_mela-e-piu,document,bertscore.f1,0.636055,one_seq
651,NAIST,low,nonn,ref,21_hat-cap,document,bertscore.f1,0.708393,one_seq
652,NAIST,low,nonn,ref,22_new-design-world,document,bertscore.f1,0.715698,one_seq
653,NAIST,low,nonn,ref,23_pillowdream,document,bertscore.f1,0.721747,one_seq
654,NAIST,low,nonn,ref,24_mole-g-p-technologies,document,bertscore.f1,0.69641,one_seq
655,NAIST,low,nonn,ref,25_folkstyle,document,bertscore.f1,0.699044,one_seq
656,NAIST,low,nonn,ref,26_tabacco-shop,document,bertscore.f1,0.708197,one_seq
657,NAIST,low,nonn,ref,27_f-e-international-tour,document,bertscore.f1,0.715147,one_seq
658,NAIST,low,nonn,ref,28_samanka,document,bertscore.f1,0.755934,one_seq
659,NAIST,low,nonn,ref,29_salon-n-g,document,bertscore.f1,0.744352,one_seq
660,NAIST,low,nonn,ref,30_appolonas,document,bertscore.f1,0.719533,one_seq
661,NAIST,low,nonn,ref,31_devil-chocolate,document,bertscore.f1,0.709739,one_seq
662,NAIST,low,nonn,ref,32_ck-remoa,document,bertscore.f1,0.699425,one_seq
663,NAIST,low,nonn,ref,33_logistic-servis,document,bertscore.f1,0.685269,one_seq
664,NAIST,low,nonn,ref,34_kol_action_accessoires,document,bertscore.f1,0.729803,one_seq
665,NAIST,low,nonn,ref,35_f-e-time-travel-agency,document,bertscore.f1,0.674045,one_seq
666,NAIST,low,nonn,ref,36_step-house,document,bertscore.f1,0.714534,one_seq
667,NAIST,low,nonn,ref,37_caspowalk,document,bertscore.f1,0.722198,one_seq
668,NAIST,low,nonn,ref,38_seta,document,bertscore.f1,0.74889,one_seq
669,NAIST,low,nonn,ref,39_total-regal,document,bertscore.f1,0.730017,one_seq
670,NAIST,low,nonn,ref,austrian,document,bertscore.f1,0.732046,one_seq
671,NAIST,low,nonn,ref,belgian,document,bertscore.f1,0.715646,one_seq
672,NAIST,low,nonn,ref,dutch,document,bertscore.f1,0.703033,one_seq
673,NAIST,low,nonn,ref,polish,document,bertscore.f1,0.700349,one_seq
674,NAIST,low,nonn,ref,romanian,document,bertscore.f1,0.735332,one_seq
675,NAIST,low,nonn,ref,spanish,document,bertscore.f1,0.69455,one_seq
676,NAIST,low,nat,intp,ted_37498,document,comet-da,-0.14678674936294556,one_seq
677,NAIST,low,nat,intp,ted_39331,document,comet-da,0.02806880511343479,one_seq
678,NAIST,low,nat,intp,ted_42604,document,comet-da,-0.09538891911506653,one_seq
679,NAIST,low,nat,intp,ted_45614,document,comet-da,-0.3666822016239166,one_seq
680,NAIST,low,nat,intp,ted_45973,document,comet-da,-0.10643953830003738,one_seq
681,NAIST,low,nat,intp,ted_46528,document,comet-da,0.15683242678642273,one_seq
682,NAIST,low,nat,intp,ted_49440,document,comet-da,-0.44304463267326355,one_seq
683,NAIST,low,nat,intp,ted_50853,document,comet-da,-0.0382106751203537,one_seq
684,NAIST,low,nat,intp,ted_51101,document,comet-da,-0.12571118772029877,one_seq
685,NAIST,low,nat,intp,ted_52268,document,comet-da,0.047242723405361176,one_seq
686,NAIST,low,nat,intp,ted_54706,document,comet-da,-0.826143205165863,one_seq
687,NAIST,low,nat,intp,ted_55061,document,comet-da,-0.06459823250770569,one_seq
688,NAIST,low,nat,intp,ted_56901,document,comet-da,-0.15133976936340332,one_seq
689,NAIST,low,nat,intp,ted_57418,document,comet-da,0.05326513200998306,one_seq
690,NAIST,low,nat,intp,ted_60872,document,comet-da,-0.2548927366733551,one_seq
691,NAIST,low,nat,intp,ted_62628,document,comet-da,-0.29094356298446655,one_seq
692,NAIST,low,nat,intp,ted_63920,document,comet-da,-0.02191448025405407,one_seq
693,CUNI-KIT,high,nat,intp,ted_37498,document,bertscore.f1,0.769097,one_seq
694,CUNI-KIT,high,nat,intp,ted_39331,document,bertscore.f1,0.770475,one_seq
695,CUNI-KIT,high,nat,intp,ted_42604,document,bertscore.f1,0.776171,one_seq
696,CUNI-KIT,high,nat,intp,ted_45614,document,bertscore.f1,0.790913,one_seq
697,CUNI-KIT,high,nat,intp,ted_45973,document,bertscore.f1,0.780396,one_seq
698,CUNI-KIT,high,nat,intp,ted_46528,document,bertscore.f1,0.771918,one_seq
699,CUNI-KIT,high,nat,intp,ted_49440,document,bertscore.f1,0.760874,one_seq
700,CUNI-KIT,high,nat,intp,ted_50853,document,bertscore.f1,0.756036,one_seq
701,CUNI-KIT,high,nat,intp,ted_51101,document,bertscore.f1,0.782745,one_seq
702,CUNI-KIT,high,nat,intp,ted_52268,document,bertscore.f1,0.809969,one_seq
703,CUNI-KIT,high,nat,intp,ted_54706,document,bertscore.f1,0.746679,one_seq
704,CUNI-KIT,high,nat,intp,ted_55061,document,bertscore.f1,0.792035,one_seq
705,CUNI-KIT,high,nat,intp,ted_56901,document,bertscore.f1,0.752119,one_seq
706,CUNI-KIT,high,nat,intp,ted_57418,document,bertscore.f1,0.821381,one_seq
707,CUNI-KIT,high,nat,intp,ted_60872,document,bertscore.f1,0.796045,one_seq
708,CUNI-KIT,high,nat,intp,ted_62628,document,bertscore.f1,0.804202,one_seq
709,CUNI-KIT,high,nat,intp,ted_63920,document,bertscore.f1,0.772036,one_seq
710,CUNI-KIT,low,nonn,ref,03_botel-proti-proudu,document,comet-da,-0.9211844205856323,one_seq
711,CUNI-KIT,low,nonn,ref,04_g-t,document,comet-da,-0.4292925000190735,one_seq
712,CUNI-KIT,low,nonn,ref,05_i-dodge,document,comet-da,-0.3754255771636963,one_seq
713,CUNI-KIT,low,nonn,ref,06_masaze-petr-klic,document,comet-da,-0.522180438041687,one_seq
714,CUNI-KIT,low,nonn,ref,07_bucherinsel-west,document,comet-da,0.4789092540740967,one_seq
715,CUNI-KIT,low,nonn,ref,08_jizeran,document,comet-da,-0.029886025935411453,one_seq
716,CUNI-KIT,low,nonn,ref,09_il-gabbiano,document,comet-da,-0.8467047214508057,one_seq
717,CUNI-KIT,low,nonn,ref,10_magic-travel,document,comet-da,-0.7078434824943542,one_seq
718,CUNI-KIT,low,nonn,ref,11_trefa,document,comet-da,-0.27349910140037537,one_seq
719,CUNI-KIT,low,nonn,ref,12_fictionalcine,document,comet-da,-1.219598650932312,one_seq
720,CUNI-KIT,low,nonn,ref,13_don-bosco-barcelona,document,comet-da,-0.45314139127731323,one_seq
721,CUNI-KIT,low,nonn,ref,14_llibres-i-revistes-edb,document,comet-da,-0.4035697877407074,one_seq
722,CUNI-KIT,low,nonn,ref,15_brnkni,document,comet-da,-0.4687648415565491,one_seq
723,CUNI-KIT,low,nonn,ref,16_develop-most,document,comet-da,-0.0969337448477745,one_seq
724,CUNI-KIT,low,nonn,ref,17_tf-smart-team,document,comet-da,0.3901475965976715,one_seq
725,CUNI-KIT,low,nonn,ref,18_tf-magic-world,document,comet-da,0.2517573833465576,one_seq
726,CUNI-KIT,low,nonn,ref,19_be-beauty,document,comet-da,-1.23442804813385,one_seq
727,CUNI-KIT,low,nonn,ref,20_mela-e-piu,document,comet-da,-1.2793766260147095,one_seq
728,CUNI-KIT,low,nonn,ref,21_hat-cap,document,comet-da,-0.7179298996925354,one_seq
729,CUNI-KIT,low,nonn,ref,22_new-design-world,document,comet-da,-0.39217609167099,one_seq
730,CUNI-KIT,low,nonn,ref,23_pillowdream,document,comet-da,-0.7509666681289673,one_seq
731,CUNI-KIT,low,nonn,ref,24_mole-g-p-technologies,document,comet-da,-0.2276758849620819,one_seq
732,CUNI-KIT,low,nonn,ref,25_folkstyle,document,comet-da,-0.3076971769332886,one_seq
733,CUNI-KIT,low,nonn,ref,26_tabacco-shop,document,comet-da,-0.728600800037384,one_seq
734,CUNI-KIT,low,nonn,ref,27_f-e-international-tour,document,comet-da,-0.4910322427749634,one_seq
735,CUNI-KIT,low,nonn,ref,28_samanka,document,comet-da,-0.34489911794662476,one_seq
736,CUNI-KIT,low,nonn,ref,29_salon-n-g,document,comet-da,0.17881444096565247,one_seq
737,CUNI-KIT,low,nonn,ref,30_appolonas,document,comet-da,0.18056732416152954,one_seq
738,CUNI-KIT,low,nonn,ref,31_devil-chocolate,document,comet-da,0.09425912797451019,one_seq
739,CUNI-KIT,low,nonn,ref,32_ck-remoa,document,comet-da,-0.8178712129592896,one_seq
740,CUNI-KIT,low,nonn,ref,33_logistic-servis,document,comet-da,-1.0939552783966064,one_seq
741,CUNI-KIT,low,nonn,ref,34_kol_action_accessoires,document,comet-da,-0.7435346245765686,one_seq
742,CUNI-KIT,low,nonn,ref,35_f-e-time-travel-agency,document,comet-da,0.13766701519489288,one_seq
743,CUNI-KIT,low,nonn,ref,36_step-house,document,comet-da,-0.31726208329200745,one_seq
744,CUNI-KIT,low,nonn,ref,37_caspowalk,document,comet-da,-0.41092556715011597,one_seq
745,CUNI-KIT,low,nonn,ref,38_seta,document,comet-da,-0.07458969205617905,one_seq
746,CUNI-KIT,low,nonn,ref,39_total-regal,document,comet-da,-0.4919895529747009,one_seq
747,CUNI-KIT,low,nonn,ref,austrian,document,comet-da,0.5336629748344421,one_seq
748,CUNI-KIT,low,nonn,ref,belgian,document,comet-da,-0.8671939969062805,one_seq
749,CUNI-KIT,low,nonn,ref,dutch,document,comet-da,-0.3654927611351013,one_seq
750,CUNI-KIT,low,nonn,ref,polish,document,comet-da,-0.4527667760848999,one_seq
751,CUNI-KIT,low,nonn,ref,romanian,document,comet-da,0.017763709649443626,one_seq
752,CUNI-KIT,low,nonn,ref,spanish,document,comet-da,-0.09016831964254379,one_seq
753,UPV,low,nonn,ref+intp,03_botel-proti-proudu,document,bertscore.f1,0.742099,one_seq
754,UPV,low,nonn,ref+intp,04_g-t,document,bertscore.f1,0.768025,one_seq
755,UPV,low,nonn,ref+intp,05_i-dodge,document,bertscore.f1,0.726194,one_seq
756,UPV,low,nonn,ref+intp,06_masaze-petr-klic,document,bertscore.f1,0.720768,one_seq
757,UPV,low,nonn,ref+intp,07_bucherinsel-west,document,bertscore.f1,0.767835,one_seq
758,UPV,low,nonn,ref+intp,08_jizeran,document,bertscore.f1,0.808488,one_seq
759,UPV,low,nonn,ref+intp,09_il-gabbiano,document,bertscore.f1,0.698303,one_seq
760,UPV,low,nonn,ref+intp,10_magic-travel,document,bertscore.f1,0.75347,one_seq
761,UPV,low,nonn,ref+intp,11_trefa,document,bertscore.f1,0.801776,one_seq
762,UPV,low,nonn,ref+intp,12_fictionalcine,document,bertscore.f1,0.678408,one_seq
763,UPV,low,nonn,ref+intp,13_don-bosco-barcelona,document,bertscore.f1,0.739726,one_seq
764,UPV,low,nonn,ref+intp,14_llibres-i-revistes-edb,document,bertscore.f1,0.684381,one_seq
765,UPV,low,nonn,ref+intp,15_brnkni,document,bertscore.f1,0.702563,one_seq
766,UPV,low,nonn,ref+intp,16_develop-most,document,bertscore.f1,0.738665,one_seq
767,UPV,low,nonn,ref+intp,17_tf-smart-team,document,bertscore.f1,0.739566,one_seq
768,UPV,low,nonn,ref+intp,18_tf-magic-world,document,bertscore.f1,0.754927,one_seq
769,UPV,low,nonn,ref+intp,19_be-beauty,document,bertscore.f1,0.747393,one_seq
770,UPV,low,nonn,ref+intp,20_mela-e-piu,document,bertscore.f1,0.618771,one_seq
771,UPV,low,nonn,ref+intp,21_hat-cap,document,bertscore.f1,0.722879,one_seq
772,UPV,low,nonn,ref+intp,22_new-design-world,document,bertscore.f1,0.754707,one_seq
773,UPV,low,nonn,ref+intp,23_pillowdream,document,bertscore.f1,0.734802,one_seq
774,UPV,low,nonn,ref+intp,24_mole-g-p-technologies,document,bertscore.f1,0.756823,one_seq
775,UPV,low,nonn,ref+intp,25_folkstyle,document,bertscore.f1,0.792261,one_seq
776,UPV,low,nonn,ref+intp,26_tabacco-shop,document,bertscore.f1,0.826064,one_seq
777,UPV,low,nonn,ref+intp,27_f-e-international-tour,document,bertscore.f1,0.782797,one_seq
778,UPV,low,nonn,ref+intp,28_samanka,document,bertscore.f1,0.786116,one_seq
779,UPV,low,nonn,ref+intp,29_salon-n-g,document,bertscore.f1,0.747466,one_seq
780,UPV,low,nonn,ref+intp,30_appolonas,document,bertscore.f1,0.790061,one_seq
781,UPV,low,nonn,ref+intp,31_devil-chocolate,document,bertscore.f1,0.733322,one_seq
782,UPV,low,nonn,ref+intp,32_ck-remoa,document,bertscore.f1,0.750574,one_seq
783,UPV,low,nonn,ref+intp,33_logistic-servis,document,bertscore.f1,0.734544,one_seq
784,UPV,low,nonn,ref+intp,34_kol_action_accessoires,document,bertscore.f1,0.743245,one_seq
785,UPV,low,nonn,ref+intp,35_f-e-time-travel-agency,document,bertscore.f1,0.750761,one_seq
786,UPV,low,nonn,ref+intp,36_step-house,document,bertscore.f1,0.816647,one_seq
787,UPV,low,nonn,ref+intp,37_caspowalk,document,bertscore.f1,0.760361,one_seq
788,UPV,low,nonn,ref+intp,38_seta,document,bertscore.f1,0.760604,one_seq
789,UPV,low,nonn,ref+intp,39_total-regal,document,bertscore.f1,0.751118,one_seq
790,UPV,low,nonn,ref+intp,austrian,document,bertscore.f1,0.822155,one_seq
791,UPV,low,nonn,ref+intp,belgian,document,bertscore.f1,0.794278,one_seq
792,UPV,low,nonn,ref+intp,dutch,document,bertscore.f1,0.724802,one_seq
793,UPV,low,nonn,ref+intp,polish,document,bertscore.f1,0.780051,one_seq
794,UPV,low,nonn,ref+intp,romanian,document,bertscore.f1,0.816976,one_seq
795,UPV,low,nonn,ref+intp,spanish,document,bertscore.f1,0.788082,one_seq
796,CUNI-KIT,low,nonn,intp,03_botel-proti-proudu,document,comet-da,-0.8804198503494263,one_seq
797,CUNI-KIT,low,nonn,intp,04_g-t,document,comet-da,-0.49244225025177,one_seq
798,CUNI-KIT,low,nonn,intp,05_i-dodge,document,comet-da,-0.49306175112724304,one_seq
799,CUNI-KIT,low,nonn,intp,06_masaze-petr-klic,document,comet-da,-0.882495641708374,one_seq
800,CUNI-KIT,low,nonn,intp,07_bucherinsel-west,document,comet-da,0.35865023732185364,one_seq
801,CUNI-KIT,low,nonn,intp,08_jizeran,document,comet-da,0.029038013890385628,one_seq
802,CUNI-KIT,low,nonn,intp,09_il-gabbiano,document,comet-da,-1.0146580934524536,one_seq
803,CUNI-KIT,low,nonn,intp,10_magic-travel,document,comet-da,-0.7744541764259338,one_seq
804,CUNI-KIT,low,nonn,intp,11_trefa,document,comet-da,-0.38594016432762146,one_seq
805,CUNI-KIT,low,nonn,intp,12_fictionalcine,document,comet-da,-1.289136290550232,one_seq
806,CUNI-KIT,low,nonn,intp,13_don-bosco-barcelona,document,comet-da,-0.5634535551071167,one_seq
807,CUNI-KIT,low,nonn,intp,14_llibres-i-revistes-edb,document,comet-da,-0.651475191116333,one_seq
808,CUNI-KIT,low,nonn,intp,15_brnkni,document,comet-da,-0.9210208058357239,one_seq
809,CUNI-KIT,low,nonn,intp,16_develop-most,document,comet-da,-0.28510478138923645,one_seq
810,CUNI-KIT,low,nonn,intp,17_tf-smart-team,document,comet-da,0.07234712690114975,one_seq
811,CUNI-KIT,low,nonn,intp,18_tf-magic-world,document,comet-da,-0.05289505794644356,one_seq
812,CUNI-KIT,low,nonn,intp,19_be-beauty,document,comet-da,-1.6645114421844482,one_seq
813,CUNI-KIT,low,nonn,intp,20_mela-e-piu,document,comet-da,-1.7655951976776123,one_seq
814,CUNI-KIT,low,nonn,intp,21_hat-cap,document,comet-da,-0.8348587155342102,one_seq
815,CUNI-KIT,low,nonn,intp,22_new-design-world,document,comet-da,-0.4899683892726898,one_seq
816,CUNI-KIT,low,nonn,intp,23_pillowdream,document,comet-da,-0.6107988357543945,one_seq
817,CUNI-KIT,low,nonn,intp,24_mole-g-p-technologies,document,comet-da,-0.4366987943649292,one_seq
818,CUNI-KIT,low,nonn,intp,25_folkstyle,document,comet-da,-0.0051950979977846146,one_seq
819,CUNI-KIT,low,nonn,intp,26_tabacco-shop,document,comet-da,-0.5775807499885559,one_seq
820,CUNI-KIT,low,nonn,intp,27_f-e-international-tour,document,comet-da,-0.7708767652511597,one_seq
821,CUNI-KIT,low,nonn,intp,28_samanka,document,comet-da,-0.45290708541870117,one_seq
822,CUNI-KIT,low,nonn,intp,29_salon-n-g,document,comet-da,-0.024837451055645943,one_seq
823,CUNI-KIT,low,nonn,intp,30_appolonas,document,comet-da,-0.4786776304244995,one_seq
